ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,domicilios_total_2010,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita,ind_ag013,abast_rede_geral_ibge_2010
2018,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16736,3062,19798,6398,18726,15399,3327,19890.386173326195,1584.2506049083997,21474.636778234595,19874.822977446376,848.5834773591428,1454.2257172485308,20723.406454805518,108.46871794239112,8.00207397165572,100.4666439707354,104.67424211943388,4.286208088489457,100.38803403094443,10.500142085819835,71.42638060330945,5786,274.2315935015555,469.95333563774625,511.97269270653305,3.0944045014066894,3519,369.5,3260.35,2608.28,1863,449.08458164595373,6613,5173
2019,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16903,3029,19932,6478,18726,15399,3327,20606.14563627548,1594.9733840304182,22201.119020305898,20550.04018275947,854.3269961977186,1464.0684410646386,21404.36717895719,111.38430172740266,8.00207397165572,103.38222775574694,107.3869515299879,4.286208088489457,103.10074344149844,2.8019052956010086,68.34095455844526,5786,277.660559972347,475.82958866228824,518.3743518838576,3.076875578882371,3569,100,3499,2799.2000000000003,1913,465.2156467819529,6890,5173
2010,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12139,7107,19246,5947,19246,12139,7107,12611.68017487809,3789.6529342525646,16401.333109130654,9268.630233731294,2702.2717336472174,3514.5713805279975,11970.901967378511,85.21943837228855,19.69060030267362,65.52883806961493,62.19942828316799,14.040692786278797,48.15873549688919,36.99121730097271,48.186591224783676,5947,835,1086,1171,3.2362535732302002,1058.9,391.70000000000005,784.71,627.768,302.5,170.4681994110024,4096,3897
2011,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12147,7039,19186,5978,19246,12139,7107,12827.784895610073,3777.8385740709596,16605.62346968103,9392.902403609924,2693.8473179754496,3503.6145955944166,12086.749721585373,86.55073214677907,19.690600302673612,66.86013184410545,62.997757331311234,14.040692786278793,48.95706454503244,38.28430967907621,48.341191550464046,5947,839.3526147637465,1091.6610055490162,1177.1040860938288,3.2094345935095347,1090.29,417.40999999999997,798.103,638.4824,308.65000000000003,170.4568309679194,4201,3897
2012,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12149,6969,19118,6010,19246,12139,7107,13174.286696570169,3764.4489658651423,16938.735662435312,9586.772989030149,2684.2996468807805,3491.196906003027,12271.072635910929,88.60098160077055,19.69060030267362,68.91038129809694,64.18596420081037,14.040692786278797,50.14527141453158,27.901369542086822,51.69382142757496,5947,843.8456364553557,1097.504624180259,1183.4050781906844,3.1810316139767054,1024.43,285.83000000000004,824.349,659.4792000000001,340.90999999999997,171.43170351278943,4353,3897
2013,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12149,6900,19049,6042,19246,12139,7107,13174.199935413046,3750.8624516562973,16925.06238706934,10074.087433203025,2674.611568858248,3478.5966033294103,12748.699002061274,88.8501358972615,19.690600302673616,69.15953559458788,66.92581763904286,14.040692786278797,52.885124852764065,30.602812277084528,55.67877146381742,5947,848.3386581469649,1103.3482428115017,1189.70607028754,3.1527639854352865,1023.37,313.17999999999995,804.144,643.3152,358.19,167.2309709414068,4392,3897
2014,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12150,6831,18981,6074,19246,12139,7107,13515.875753483728,3737.472843450479,17253.348596934207,10575.926703031904,2665.0638977635786,3466.178913738019,13240.990600795483,90.89799587447557,19.690600302673616,71.20739557180195,69.75918339811118,14.040692786278797,55.71849061183238,28.68975332068311,66.608632989326,5947,852.8316798385741,1109.1918614427443,1196.0070623843956,3.124958840961475,1054,302.39,842.327,673.8616000000001,448.85,170.74329829383262,4546,3897
2015,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12150,6762,18912,6106,19246,12139,7107,13293.028753736078,3723.886329241634,17016.915082977714,10557.90521695504,2655.375819741046,3453.578611064402,13213.281036696086,89.97945792606659,19.690600302673612,70.28885762339297,69.86717976256391,14.040692786278797,55.82648697628511,31.244908175384527,67.24847543739304,5947,857.3247015301833,1115.035480073987,1202.308054481251,3.0972813625941695,1018.7900000000001,318.32000000000005,795.966,636.7728000000001,428.21999999999997,164.0505566882477,4511,3897
2016,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12183,6713,18896,6156,19246,12139,7107,13249.836103115862,3720.735833193207,16970.57193630907,10613.233825854686,2653.129308895241,3450.6568017487807,13266.363134749927,89.81039339706324,19.69060030267362,70.11979309438962,70.20725621692382,14.040692786278793,56.16656343064503,30.74788865514193,78.4397521319373,5947,864.3450479233227,1124.1661341853035,1212.153354632588,3.069525666016894,983.97,302.55000000000007,772.185,617.748,484.56,159.6680386082851,4537,3897
2017,352610,Juquiá,não,0.951416015625,1.0619206525769374,0.7,0.637,0.823,0.654,12214,6664,18878,6207,19246,12139,7107,13255.770790774906,3717.1915251387254,16972.96231591363,10641.962457137064,2650.6019841937114,3447.369766268707,13292.564441330775,89.90868903439788,19.690600302673616,70.21808873172427,70.41299100185812,14.040692786278797,56.37229821557932,33.52523272905438,77.0295708356879,5947,871.5058012443249,1133.4794013788464,1222.1955607869513,3.0414048654744645,1061.32,355.80999999999995,812.2529999999999,649.8024,500.54,167.87787900498367,4581,3897
